artist_ida;artist_idb;cuenta
_algol_;abnocto;1
_soundtrack;"andrew bird";1
"- m -";air;1
"-123 min.";queen;2
-elettronoir-;"antony and the johnsons";1
-m-;muse;3
-oz-;"9mm parabellum bullet";1
-tion;"1.6 band";1
:golgatha:;"dies natalis";1
:tremor;amatory;1
:wumpscut:;combichrist;5
!!!;radiohead;15
"!action pact!";"bat for lashes";1
!deladap;shantel;2
!distain;"absurd minds";1
!t.o.o.h.!;atheist;2
"¡all-time quarterback!";beirut;1
¡cubanismo!;cordel;1
"¡forward, russia!";"bloc party";2
"? & the mysterians";"bondage fairies";1
"? and the mysterians";"13th floor elevators";2
"...a toys orchestra";"augie march";1
...aaaarrghh...;"bartholomeus night";1
...anabase*;"after forever";1
"...and oceans";emperor;3
"...and stars collide";"frank zappa";1
"...and you will know us by the trail of dead";radiohead;15
"...but alive";"farin urlaub";3
"...of sinking ships";"dizzee rascal";1
"...И Друг Мой Грузовик";cire;1
".38 special";aerosmith;2
.3k;"hideaki kobayashi";1
".45 grave";"terveet kädet";1
.calibre;"kaiser chiefs";1
.computer..;"die Ärzte";1
.crrust;ambulance;1
".rod laver";4lyn;1
.spout.;"crazy anglos";2
.tape.;"beastie boys";1
"'enrico caruso";"ane brun";1
"'n sync";aqualung;1
"'t hof van commerce";"kanye west";2
"'t kliekske";allerseelen;1
"'til tuesday";"kevin shields";1
(((stereofect)));"adrian sherwood";1
(+44);blink-182;4
"(eagle eye cherry";anti-flag;1
"(franz) joseph haydn";"bryan adams";1
"(hed) planet earth";incubus;7
"(həd) p.e.";saliva;2
(lo:muêso);"a perfect circle";1
(retards);"andrew boland";1
(sic)monic;"adelitas way";1
(smog);"belle and sebastian";1
"(the) plasmarifle";"carnival in coal";1
(v.e.g.a.);arcturus;1
(vxpxc);"devendra banhart";2
"(we are) performance";"adam and the ants";1
[:sitd:];"icon of coil";4
"[+] z.e.t.a. x";"armin van buuren";1
[a]pendics.shuffle;"808 state";1
[dunkelbunt];attwenger;1
[re:jazz];"benjamin biolay";1
[spunge];ac;1
[t]ékël;blockhead;1
"[the real] tuesday weld";"clem snide";1
[traditional];"maroon 5";1
[unknown];coldplay;29
[x]-rx;aiboforcen;1
{{{sunset}}};arms;1
"§ men ahead";"dj shadow";1
@junkmail;cascada;3
"@patia no";7seconds;1
*armstrong;"band of horses";1
*nsync;"backstreet boys";8
*shels;isis;4
#####;nirvana;4
"#pidżama porno";"glen hansard/markéta irglová";1
#poundsign#;"black tambourine";1
°c-ute;perfume;2
"↑the high-lows↓";"asian kung-fu generation";2
"∀nti feminism";angelspit;1
+/-;"the smashing pumpkins";5
+44;paramore;12
~soundtrack;"ania dąbrowska";1
$100;"blue monday";1
$olal;abba;1
$parechange;"30 foot fall";1
$tinkworx;4hero;1
00-soul;"al green";1
00.db;"50 cent";1
0118-vier;"bone thugs-n-harmony";1
013;antikeho;1
044;047;1
047;"ronald jenkees";2
08001;"kiko veneno";2
091;"13th floor elevators";1
"1 2 3 4";"animal collective";1
"1 giant leap";"art of noise";2
"1 mile north";"1-speed bike";1
1-800-zombie;"backseat goodbye";1
"1-speed bike";"1 mile north";1
"1-uik project";holden;1
"1,5 Кг Отличного Пюре";amnesys;1
"1. futurologischer congress";abwärts;1
"1. mai 87";"les trucs";1
"1.5 кг Отличного Пюре";ber-linn;1
"1.5кг Отличного Пюре";"dolores o'riordan";2
"1.6 band";-tion;1
1.8.7;"miles davis";1
"1/2 japanese";"destroy all monsters";1
"10 dubians";"bush chemists";2
"10 ft. ganja plant";"red hot chili peppers";2
"10 rue d'la madeleine";"amanda woodward";1
"10 years";"three days grace";8
10-feet;"the band apart";2
"10,000 maniacs";beck;2
"10,000 things";air;1
"100 demons";"as i lay dying";3
"100 flowers";"bessie smith";1
"100 folk celsius";"animal cannibals";1
"100 monkeys";audioslave;1
"100 múch";belleruche;1
"100 portraits and waterdeep";"blake lewis";1
100-200-400;d-crew;1
100%;"killa kela";1
"100% collegues";"boudewijn de groot";1
"100% meskalin";"green smatroll";1
100°c;pendulum;3
"1000 funerals";aaskereia;1
"1000 hertz";"every time i die";1
"1000 homo djs";"does it offend you, yeah?";1
"1000 hours of staring";"everything but the girl";1
"1000 names";"a made up sound";1
"1000 robota";"death cab for cutie";2
"1000 travels of jawaharlal";65daysofstatic;2
"1000 violins";"combustible edison";1
100blumen;"alter der ruine";1
100dbs;"late of the pier";1
100deadrabbits!!!;korea;2
100nka;akurat;1
100s;"asian kung-fu generation";2
"101 south";"fountains of wayne";1
"101 strings";aqua;1
"101 strings orchestra";"ludwig van beethoven";2
101a;"a day to remember";1
"107 faunos";radiohead;2
108;afi;2
10cc;"david bowie";8
10lec6;alt-ctrl-sleep;1
11-5;"black moon";1
11/5;"archimedes badkar";1
110;kargo;3
112;ne-yo;4
1125;"agnostic front";2
113;[unknown];1
"113 clan";booba;1
"116 clique";"4th avenue jones";1
11am;"delta goodrem";1
11water;"gorilla angreb";1
"12 inch thumpers";"paul glazby";1
"12 moons";antix;1
"12 o'clock";"big daddy kane";1
"12 rods";blur;1
"12 rounds";"amanda palmer";1
"12 step rebels";999;1
"12 stones";"breaking benjamin";12
"12 summers old";"3 feet smaller";1
"120 days";radiohead;3
"1200 micrograms";"astral projection";7
"1200 techniques";"afrika bambaataa";1
12012;gackt;5
1208;allister;2
"121 crew";"blahzay blahzay";1
"1280 almas";"andrés calamaro";2
12twelve;mogwai;2
13;15;1
"13 & god";"cat power";3
"13 cats";[unknown];1
"13 days";audioslave;1
"13 ghosts";"buddy holly";1
"13 mg.";"hanzel und gretyl";1
13&god;"mc solaar";1
1349;immortal;8
13ghosts;65daysofstatic;1
13nrv;"skeleton crew";1
"13th chime";1919;1
"13th floor elevators";radiohead;5
"13th melody";amoral;1
"14 bis";"zeca baleiro";2
"14 iced bears";palomar;1
"14 year old girls";"franz ferdinand";2
14kt;"de la soul";2
15;13;1
"15 minut projekt";azad;1
"15 minutes late";"cristina d'avena";1
16;coalesce;2
"16 bit";caspa;3
"16 bit lolita's";"cássia eller";1
"16 bit lolitas";moonbeam;4
"16 down";"a perfect circle";1
"16 frames";"black lab";1
"16 guns";911;1
"16 horsepower";radiohead;8
16b;"33rd avenue";1
16pac;"josh woodward";1
16stitch;adema;1
16volt;"hate dept.";2
"17 hippies";"balkan beat box";2
"17 pictures";akron/family;1
"17 reasons";broadcast;1
1755;2pm;1
175r;"michael jackson";2
176biz;girugämesh;2
"17th boulevard";"a static lullaby";1
18;"blank & jones";1
"18 summers";asp;2
"180 grad";"4 promille";1
"187 fac";esham;1
"187 lockdown";"kola kid";2
18crown6;saosin;1
"18th dye";"angelika express";1
19;"9mm parabellum bullet";1
"19 wiosen";"diane birch";1
1900;beirut;1
1905;"amanda woodward";2
1908;balmorhea;1
"1910 fruitgum company";"101 strings orchestra";1
1917;artillery;1
1919;"cinema strange";2
1927;"98 degrees";1
1969;audioslave;1
"1974 ad";"black eyed peas";1
1976;"alanis morissette";1
1980;"7th nemesis";1
1984;"depeche mode";1
1990s;radiohead;4
1997;paramore;2
1999;blitz;1
1luv;"ben harper & the innocent criminals";1
1n;björk;1
"1st down";k.i.z.;1
1tym;동방신기;3
2;"andy mckee";1
"2 0 clock girlfriend";65daysofstatic;1
"2 0' clock girlfriend";alexisonfire;1
"2 bad mice";breakage;1
"2 bal 2 neg";alphawezen;1
"2 belgen";"sad lovers and giants";1
"2 best enemies";technoboy;2
"2 bit pie";"alan silvestri";1
"2 brothers on the 4th floor";atb;2
"2 bullet";d'espairsray;2
"2 by bukowski";65daysofstatic;1
"2 days ago kids";blondie;1
"2 dollar egg";"claude vonstroke";1
"2 dope";"barenaked ladies";1
"2 elements";"patrick bunton";1
"2 fabiola";"milk inc.";2
"2 foot yard";"secret chiefs 3";2
"2 heads";fragma;1
"2 litre dolby";"deja voodoo";1
"2 live crew";"eric clapton";1
"2 many dj's";radiohead;5
"2 many djs";"booka shade";5
"2 minuta dreka";"anal cunt";2
"2 minutos";misfits;3
"2 much";eldo;1
"2 o'clock girlfriend";"the smiths";2
"2 pistols";pitbull;2
"2 playaz";"bring me the horizon";1
"2 skinnee j's";clutch;1
"2 skinnee js";311;1
"2 star tabernacle";"arctic monkeys";1
"2 stone 2 skank";"casey jones";1
"2 unlimited";cascada;7
"2 vibez";"dj shog";3
"2-4 family";"bomfunk mcs";1
"2-4 grooves";"daft punk";3
2*sweet;"albert hammond, jr.";1
2+1;"britney spears";1
2+2=5;"agent side grinder";1
20;"gloria gaynor";1
"20 bulls each";cro-mags;1
"20 dead flower children";.spout.;1
"20 fingers";"britney spears";1
"20 miles";"creedence clearwater revival";1
"20 minute loop";"alain souchon";1
20-2-life;"klondike karl";1
20/20;ash;1
200;"eiffel 65";1
"200 sachen";"dee dee ramone";1
200°;arkitech;1
"2000 and one";"gui boratto";1
"2000 black";chromeo;1
2000black;"alison david";1
"2000f & j kamata";"jean grae";1
2002;karunesh;5
2008;"grizzly bear";1
2012;chisel;1
"2020 soundsystem";"akira kosemura";1
20goto10;"brian wilson";1
20syl;beirut;1
"20th century";"asakura daisuke";1
"21 guns";"cut copy";1
"21 japonesas";"alison krauss & union station";1
213;2pac;2
216;"dj fresh";1
"21st century dub";"adrian sherwood";1
"21st century schizoid band";björk;1
22;biohazard;1
22-20s;"a perfect circle";1
22-p;"antony and the johnsons";1
22-pistepirkko;"david bowie";4
"220 volt";apelsin;1
2227;"ellis the vacuumchild";1
"23 skidoo";"meat beat manifesto";2
"23 till";"charta 77";2
24;"a day to remember";1
"24 gone";anberlin;1
"24 grana";"marlene kuntz";3
"24-7 spyz";"40 winks";1
"25 ta life";"casey jones";2
"250 kg kärlek";"acid house kings";1
"250kg kärlek";"björn rosenström";1
2562;"bass clef";2
26;c-block;1
"26 pinel";blockhead;1
27;battles;1
270bis;afterhours;1
"28 costumes";"black rebel motorcycle club";1
"28 days";"green day";2
"28th day";"alexander "skip" spence";1
290;"all that remains";1
2am;2pm;1
2b;"12 stones";1
2cztery7;cunninlynguists;4
"2econd class citizen";bonobo;2
"2face idibia";2pac;1
2gether;[unknown];1
2gi;"36 crazyfists";1
"2h company";"amon tobin";2
2inventions;caesars;1
2k;"alter bridge";1
2l8;a.human;1
2mb;a-ha;1
2mex;"awol one";1
"2nd chapter of acts";"charlie peacock";1
"2nd district";"against me!";1
"2nd gen";bong-ra;1
"2nd ii none";"devin the dude";1
"2nd moon";"bump of chicken";1
"2nd suicide";"daft punk";1
2ne1;"abingdon boys school";1
2pac;"kanye west";37
"2pac & outlawz";"50 cent";1
"2pac & the outlawz";2pac;1
"2pac + outlawz";"bun b";1
"2pac and tha outlawz";"augustus pablo";1
2pm;이효리;4
2raumwohnung;goldfrapp;8
2sleepy;5'nizza;1
2tall;88:komaflash;1
"2times terror";alestorm;1
2tm2,3;ac/dc;1
2trance;"lenny kravitz";1
2up;"grand ulena";1
2v1;"al & the black cats";1
2x;"papa roach";2
3;"dream theater";6
"3 busserulls";"abra moore";1
"3 chairs";"alva noto";1
"3 channels";"booka shade";2
"3 colours red";blur;2
"3 daft monkeys";"bif naked";1
"3 doors down";"linkin park";39
"3 feet smaller";+44;2
"3 force";"fatboy slim";1
"3 guys never in";"ani difranco";1
"3 hürel";"ajda pekkan";1
"3 inches of blood";"arch enemy";8
"3 leg torso";everclear;1
"3 melancholy gypsies";"gnarls barkley";1
"3 mile scream";"between the buried and me";1
"3 minute hero";aerosmith;1
"3 mother funkers";3oh!3;1
"3 mustaphas 3";"david cassidy";1
"3 na massa";aqualung;1
"3 stages of pain";"a day to remember";1
"3 steps ahead";"3 doors down";1
"3 storeys high";"all time low";1
"3-11 porter";ayo;1
