codigo	producto	valor_ventas	ventas_pct	unidades_vendidas	unidades_ventas_pct	unidades_vendidas_sem_prom
FRU0046	Tomate Chonto 	531550	0,054615528	355	0,075339559	8
VER0035	Pepino Cohombro 	207550	0,021325281	223	0,047325976	5
VER0016	Champiñón 	1505800	0,154717454	204	0,043293718	4
VER0028	Lechuga Crespa 	271300	0,027875445	174	0,036926995	4
VER0010	Zucchini Verde 	218500	0,022450368	164	0,034804754	3
VER0038	Pimentón Rojo 	266750	0,027407943	161	0,034168081	3
FRU0024	Limón Tahití 	199200	0,020467338	158	0,033531409	3
VER0013	Cebolla Cabezona Roja 	217800	0,022378444	143	0,030348048	3
VER0007	Berenjena 	185600	0,019069969	129	0,02737691	3
TUB0012	Zanahoria 	114850	0,011800571	107	0,02270798	2
VER0037	Perejil Liso 	99500	0,010223394	105	0,022283531	2
FRU0016	Fresa Pareja 	191200	0,019645356	104	0,022071307	2
FRU0008	Banano Criollo 	113200	0,011631037	95	0,02016129	2
FRU0033	Mora Castilla 	187450	0,019260052	91	0,019312394	2
VER0014	Cebolla Larga 	109300	0,011230321	86	0,018251273	2
VER0012	Cebolla Cabezona Blanca 	125540	0,012898944	85	0,018039049	2
FRU0042	Piña Golden Sweet 	292980	0,030103015	83	0,017614601	2
VER0020	Espinaca 	139700	0,014353851	80	0,016977929	2
VER0017	Cilantro 	39380	0,004046204	75	0,015916808	2
VER0049	Yerbabuena 	41060	0,00421882	73	0,01549236	2
FRU0003	Aguacate Papelillo 	180300	0,018525406	72	0,015280136	2
FRU0028	Mango Tommy Atkins 	115420	0,011859137	69	0,014643463	1
FRU0048	Tomate Larga Vida 	100100	0,010285043	67	0,014219015	1
VER0005	Apio 	86000	0,0088363	67	0,014219015	1
VER0009	Brócoli 	125540	0,012898944	67	0,014219015	1
VER0051	Perejil Crespo 	365900	0,037595376	61	0,012945671	1
VER0050	Rúgula 	185300	0,019039145	59	0,012521222	1
VER0052	Plátano Maduro 	64200	0,006596401	57	0,012096774	1
TUB0001	Arracacha 	66700	0,00685327	55	0,011672326	1
TUB0008	Papa Sabanera 	57860	0,005944981	49	0,010398981	1
TUB0005	Papa Criolla 	65940	0,006775182	48	0,010186757	1
VER0006	Ahuyama 	29700	0,003051606	47	0,009974533	1
FRU0032	Melón 	207700	0,021340693	43	0,009125637	1
TUB0006	Papa Pastusa 	31480	0,003234497	41	0,008701188	1
FRU0045	Tomate Cherry 	147600	0,015165557	39	0,00827674	1
FRU0034	Naranja Sweety 	26490	0,002721786	39	0,00827674	1
FRU0025	Lulo 	72400	0,007438932	38	0,008064516	1
VER0003	Albahaca 	24500	0,002517318	35	0,007427844	1
FRU0031	Maracuyá 	66750	0,006858408	35	0,007427844	1
TUB0010	Remolacha 	26800	0,002753638	34	0,00721562	1
VER0043	Repollo Morado 	66400	0,006822446	34	0,00721562	1
FRU0030	Manzana Verde 	38240	0,003929071	32	0,006791171	1
FRU0022	Kiwi 	157300	0,01616221	31	0,006578947	1
FRU0037	Papaya Melona 	118800	0,012206424	31	0,006578947	1
FRU0002	Aguacate Haas 	68000	0,006986842	30	0,006366723	1
GRA0006	Mazorca Desgranada 	94500	0,009709656	29	0,006154499	1
VER0024	Habichuela 	46760	0,004804481	29	0,006154499	1
FRU0040	Pera Importada 	37220	0,003824269	26	0,005517827	1
GRA0001	Arveja Desgranada 	128920	0,013246231	25	0,005305603	1
TUB0009	Rábano Rojo 	46300	0,004757218	24	0,005093379	1
VER0033	Mazorca en Vaina 	34700	0,003565344	24	0,005093379	1
FRU0017	Granadilla 	32860	0,003376289	24	0,005093379	1
TUB0004	Jengibre 	19300	0,00198303	23	0,004881154	0
FRU0029	Manzana Roja 	26960	0,002770077	23	0,004881154	0
