semana	FRU0002	FRU0003	FRU0008	FRU0016	FRU0017	FRU0022	FRU0024	FRU0025	FRU0028	FRU0030	FRU0031	FRU0032	FRU0033	FRU0034	FRU0037	FRU0040	FRU0042	FRU0045	FRU0046	FRU0048	GRA0001	GRA0006	TUB0001	TUB0005	TUB0006	TUB0008	TUB0009	TUB0010	TUB0012	VER0003	VER0005	VER0006	VER0007	VER0009	VER0010	VER0012	VER0013	VER0014	VER0016	VER0017	VER0020	VER0024	VER0028	VER0033	VER0035	VER0037	VER0038	VER0043	VER0049	VER0050	VER0051	VER0052	Total
2016-10-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-13	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13
2016-11-20	2	2	4	4	2	3	3	2	1	2	2	3	4	3	1	1	2	1	10	0	2	0	2	1	1	1	2	2	5	3	2	1	7	2	8	3	6	3	5	2	3	0	1	1	7	3	9	0	2	2	1	0	139
2016-11-27	0	4	3	3	1	3	6	1	2	1	0	3	2	1	3	2	1	1	8	2	3	0	1	2	2	2	1	1	4	1	3	1	8	3	7	5	7	3	3	2	4	2	2	2	8	6	7	0	3	2	1	0	143
2016-12-04	1	2	2	4	2	2	6	1	0	2	1	3	4	1	2	1	3	1	10	1	3	0	0	1	1	3	0	0	4	3	2	1	7	2	8	2	5	4	3	2	3	1	2	0	9	2	6	1	1	1	2	0	128
2016-12-11	1	1	1	4	1	1	5	0	1	0	0	1	3	1	1	1	2	1	6	2	1	0	1	1	2	3	0	1	0	0	1	1	6	2	6	1	6	3	2	2	1	1	2	1	8	4	6	0	4	1	4	0	104
2016-12-18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	3	0	3	1	0	0	0	0	0	0	4	4	2	0	4	0	3	0	37
2016-12-25	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	4	0	5	3	0	0	0	0	0	0	5	6	3	0	4	0	3	0	48
2017-01-01	0	0	1	3	0	0	4	0	0	0	0	1	1	1	0	0	1	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	3	0	3	3	0	0	0	0	0	0	5	4	4	0	5	0	2	0	54
2017-01-08	0	1	1	2	1	1	3	0	2	0	0	1	0	1	1	1	2	1	8	1	1	0	1	1	1	2	0	2	1	0	1	1	5	2	6	1	4	3	2	2	1	2	0	1	6	4	7	0	4	1	4	1	94
2017-01-15	1	7	2	3	3	1	4	1	2	1	1	3	3	2	2	1	2	2	12	3	1	0	1	1	2	2	0	1	2	2	2	2	7	2	5	3	4	3	6	2	2	2	7	3	8	6	4	0	6	3	5	1	151
2017-01-22	0	4	3	5	1	2	4	0	2	1	1	2	3	2	1	1	2	2	11	2	1	0	1	0	1	3	0	1	1	0	1	0	4	2	7	2	4	3	6	2	1	1	4	1	6	4	4	0	3	1	2	0	115
2017-01-29	0	0	1	3	0	0	3	1	2	0	0	0	1	1	1	0	1	0	11	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	5	0	4	2	6	0	3	0	6	0	9	4	2	0	3	0	4	0	79
2017-02-05	2	1	2	5	3	2	7	2	3	2	1	1	4	1	1	3	2	2	16	1	1	0	1	1	2	4	0	2	2	1	3	0	6	3	8	2	6	4	7	3	4	1	5	1	11	5	5	0	5	1	2	0	157
2017-02-12	1	0	3	3	0	0	6	1	1	0	0	1	4	2	1	1	5	1	13	1	1	2	0	0	1	3	0	0	3	1	2	0	3	1	6	3	3	5	4	1	3	1	4	1	6	4	3	0	3	0	3	1	112
2017-02-19	0	1	1	2	1	1	5	2	1	0	1	1	1	1	1	1	3	1	12	1	0	0	1	0	1	1	0	1	0	0	1	0	3	1	4	2	1	4	5	1	0	1	4	1	7	6	4	0	2	1	3	0	92
2017-02-26	0	2	2	6	2	2	5	1	2	0	1	1	2	1	2	2	2	2	10	2	1	3	1	0	1	3	1	2	2	0	2	1	5	2	9	2	4	5	5	2	3	1	3	2	7	4	7	0	2	2	3	1	133
2017-03-05	1	0	2	3	0	1	2	0	0	1	0	0	1	1	0	0	3	1	9	0	1	1	0	0	0	2	0	1	1	0	0	0	5	1	4	0	1	2	5	0	1	0	4	0	5	2	5	0	1	0	3	1	71
2017-03-12	1	1	1	4	1	1	5	2	1	0	1	2	4	1	1	0	1	1	9	2	1	0	0	1	1	2	0	1	1	0	0	0	4	0	3	1	2	1	4	1	0	1	4	1	5	4	3	0	2	0	3	1	86
2017-03-19	2	0	2	5	2	0	3	3	1	0	2	3	0	0	1	0	4	0	6	5	2	0	0	0	0	1	0	0	1	2	1	2	3	2	2	2	2	5	7	1	1	1	5	0	5	1	3	0	1	1	1	0	91
2017-03-26	0	0	0	1	0	0	2	1	1	0	1	0	0	0	1	0	2	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	5	0	5	0	3	2	4	0	1	0	3	0	5	5	4	0	1	0	1	0	58
2017-04-02	1	0	1	1	0	0	4	0	1	0	1	1	1	0	1	0	1	1	9	1	1	0	0	0	0	3	0	0	1	0	0	0	5	1	5	0	3	2	4	0	0	0	3	0	7	3	2	0	3	0	3	0	70
2017-04-09	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	2	0	0	0	3	0	3	1	2	0	1	0	2	0	31
2017-04-16	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	4	0	0	0	4	0	2	1	1	0	0	0	1	0	25
2017-04-23	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	4	0	2	1	0	0	0	0	0	0	26
2017-04-30	0	0	0	0	0	0	1	0	1	0	1	2	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	4	0	2	0	0	0	0	0	0	0	24
2017-05-07	0	0	0	1	0	0	3	1	0	0	1	1	2	0	0	0	2	0	6	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	3	0	0	5	1	2	2	4	1	2	1	1	0	0	0	0	1	46
